source,feature,n,pearson_r,p_pearson,spearman_r,cramers_v,loo_accuracy
2025,xg_overperformance_diff,180,0.6627,0.0,0.6924,0.5039,0.6278
2025,xg_overperformance_a,180,-0.5135,0.0,-0.5239,0.3179,0.5444
2025,xg_per_shot_diff,180,0.4931,0.0,0.516,0.3789,0.5222
2025,xg_overperformance_h,180,0.4242,0.0,0.4378,0.303,0.4389
2025,xg_tilt_h,180,0.4089,0.0,0.4082,0.2961,0.4556
2025,xg_tilt_diff,180,0.4089,0.0,0.4082,0.2961,0.4556
2025,xg_diff,180,0.3979,0.0,0.3958,0.2971,0.4833
2025,xg_per_shot_a,180,-0.3881,0.0,-0.383,0.2453,0.4889
2025,field_tilt_sot_h,180,0.3759,0.0,0.3869,0.2625,0.4889
2025,field_tilt_sot_diff,180,0.3759,0.0,0.3869,0.2625,0.4889
2025,sot_diff,180,0.3446,0.0,0.367,0.2381,0.5056
2025,poss_diff,180,-0.3365,0.0,-0.3301,0.2429,0.4333
2025,poss_a,180,0.3365,0.0,0.3301,0.2426,0.4333
2025,poss_h,180,-0.3365,0.0,-0.3301,0.2429,0.4333
2025,xg_ctx_diff,170,0.333,0.0,0.3317,0.2969,0.4941
2025,xg_per_shot_h,180,0.3247,0.0,0.3377,0.243,0.4
2025,xg_a,180,-0.3133,0.0,-0.3007,0.2341,0.4444
2025,sot_a,180,-0.2912,0.0001,-0.2796,0.267,0.45
2025,passes_acc_pct_diff,180,-0.2831,0.0001,-0.2753,0.2005,0.4222
2025,xg_h,180,0.2533,0.0006,0.2741,0.1929,0.4278
2025,xg_ctx_a,170,-0.2496,0.001,-0.2789,0.2306,0.4294
2025,passes_acc_pct_a,180,0.2298,0.0019,0.2166,0.1235,0.4111
2025,sot_h,180,0.2122,0.0042,0.2185,0.1396,0.4667
2025,xg_ctx_h,170,0.2028,0.008,0.1878,0.1536,0.3882
2025,corners_diff,180,-0.1778,0.0169,-0.1798,0.1195,0.3667
2025,passes_acc_pct_h,180,-0.1638,0.028,-0.1415,0.1314,0.4278
2025,tackles_diff,180,0.1411,0.0589,0.1153,0.1156,0.4111
2025,rolling_xg_prod_3_a,170,-0.1336,0.0824,-0.1486,0.1196,0.3941
2025,rolling_xg_diff_3,170,0.088,0.2541,0.0885,0.1127,0.4059
2025,rolling_pts_diff_3,180,0.0805,0.2828,0.0875,0.0701,0.4167
2025,shots_h,180,-0.0636,0.3962,-0.0531,0.069,0.45
2025,rolling_pts_3_h,180,0.062,0.4081,0.0516,0.107,0.4222
2025,rolling_pts_3_a,180,-0.0533,0.4771,-0.0484,0.0783,0.4222
2025,shots_diff,180,-0.0455,0.5444,-0.0486,0.0873,0.4444
2025,rolling_xg_conc_3_h,170,0.0304,0.6943,-0.0199,0.1602,0.4
2025,rolling_xg_conc_3_a,170,-0.025,0.7459,-0.0119,0.0668,0.3941
2025,field_tilt_diff,180,-0.0212,0.7779,-0.0404,0.0417,0.4
2025,field_tilt_h,180,-0.0212,0.7779,-0.0404,0.0417,0.4
2025,rolling_xg_prod_3_h,170,-0.0074,0.9237,0.0005,0.1114,0.4118
2025,shots_a,180,0.0059,0.9374,0.0141,0.1443,0.4167
2025,line_height_h,0,,,,,
2025,line_height_a,0,,,,,
2025,line_height_diff,0,,,,,
2025,prog_ratio_h,0,,,,,
2025,prog_ratio_a,0,,,,,
2025,prog_ratio_diff,0,,,,,
2026,xg_overperformance_diff,70,0.6143,0.0,0.5964,0.3954,0.5143
2026,prog_ratio_diff,62,0.4887,0.0001,0.5242,0.3787,0.4839
2026,xg_diff,70,0.4684,0.0,0.4486,0.3488,0.4429
2026,xg_overperformance_a,70,-0.467,0.0,-0.4685,0.3295,0.4857
2026,xg_tilt_h,70,0.4594,0.0001,0.4478,0.3221,0.4286
2026,xg_tilt_diff,70,0.4594,0.0001,0.4478,0.3221,0.4286
2026,prog_ratio_h,62,0.4384,0.0004,0.4498,0.3424,0.5161
2026,field_tilt_sot_h,69,0.418,0.0004,0.3752,0.3932,0.4348
2026,field_tilt_sot_diff,69,0.418,0.0004,0.3752,0.3932,0.4348
2026,xg_a,70,-0.4071,0.0005,-0.42,0.3041,0.4286
2026,sot_diff,70,0.3914,0.0008,0.3617,0.3782,0.3429
2026,xg_overperformance_h,70,0.3887,0.0009,0.3634,0.2483,0.4286
2026,xg_per_shot_diff,69,0.3704,0.0017,0.4533,0.2543,0.3623
2026,xg_ctx_a,60,-0.3668,0.0039,-0.3477,0.2969,0.3667
2026,xg_per_shot_h,69,0.3648,0.0021,0.3751,0.2361,0.3913
2026,poss_diff,69,-0.3415,0.0041,-0.3641,0.3241,0.3478
2026,poss_h,69,-0.3415,0.0041,-0.3641,0.3241,0.3478
2026,poss_a,69,0.3415,0.0041,0.3641,0.2447,0.3478
2026,sot_h,70,0.333,0.0049,0.3273,0.2086,0.3286
2026,prog_ratio_a,62,-0.3114,0.0138,-0.3799,0.2937,0.3387
2026,xg_h,70,0.2935,0.0137,0.3051,0.2251,0.4286
2026,sot_a,70,-0.2817,0.0182,-0.2675,0.2695,0.1857
2026,passes_acc_pct_diff,69,-0.2626,0.0293,-0.3033,0.2426,0.3623
2026,passes_acc_pct_h,69,-0.2518,0.0369,-0.2412,0.1607,0.3768
2026,xg_ctx_diff,60,0.2268,0.0814,0.262,0.26,0.15
2026,xg_per_shot_a,69,-0.2159,0.0748,-0.2961,0.221,0.3768
2026,rolling_pts_3_h,60,0.1821,0.1637,0.208,0.2075,0.15
2026,shots_a,70,-0.1774,0.1419,-0.2453,0.1896,0.2429
2026,tackles_diff,69,0.1771,0.1454,0.1927,0.1645,0.2464
2026,rolling_pts_diff_3,60,0.1726,0.1873,0.1777,0.2001,0.3667
2026,field_tilt_h,69,0.1633,0.1799,0.1688,0.1075,0.2754
2026,field_tilt_diff,69,0.1633,0.1799,0.1688,0.1075,0.2754
2026,rolling_xg_conc_3_h,60,-0.1577,0.2287,-0.126,0.1929,0.2667
2026,rolling_xg_conc_3_a,60,0.1575,0.2295,0.1274,0.1517,0.4
2026,rolling_xg_diff_3,60,0.154,0.24,0.128,0.3025,0.45
2026,rolling_xg_prod_3_h,60,0.1497,0.2535,0.1226,0.2369,0.4333
2026,passes_acc_pct_a,69,0.1337,0.2736,0.1931,0.2556,0.4203
2026,shots_diff,70,0.1019,0.4014,0.1233,0.114,0.1
2026,rolling_xg_prod_3_a,60,-0.0869,0.5093,-0.0487,0.158,0.4
2026,rolling_pts_3_a,60,-0.043,0.7442,-0.0313,0.1998,0.35
2026,corners_diff,69,-0.0325,0.7907,-0.0491,0.0725,0.4058
2026,xg_ctx_h,60,0.0315,0.811,0.1402,0.1763,0.1667
2026,line_height_a,62,0.022,0.8652,0.0425,0.1039,0.2903
2026,line_height_h,62,0.0135,0.917,-0.0356,0.0741,0.1935
2026,line_height_diff,62,-0.0056,0.9654,-0.014,0.1397,0.2581
2026,shots_h,70,-0.0014,0.9909,0.0487,0.102,0.2
